"n","m","name","cmax","nopt","numnodes","time","gap"
20,5,"ta001",1278,FALSE,1,0,0
20,5,"ta002",1359,FALSE,201218,32,0
20,5,"ta003",1081,FALSE,20,0,0
20,5,"ta004",1293,FALSE,15,0,0
20,5,"ta005",1235,FALSE,191281,24,0
20,5,"ta006",1195,FALSE,57,0,0
20,5,"ta007",1234,FALSE,1,0,0
20,5,"ta008",1206,FALSE,20,0,0
20,5,"ta009",1230,FALSE,479,0,0
20,5,"ta010",1108,FALSE,4,0,0
20,10,"ta011",1582,FALSE,259678,45,0
20,10,"ta012",1659,FALSE,161669,37,0
20,10,"ta013",1496,FALSE,191902,40,0
20,10,"ta014",1377,FALSE,45409,9,0
20,10,"ta015",1419,FALSE,46458,9,0
20,10,"ta016",1397,FALSE,3766,1,0
20,10,"ta017",1484,FALSE,40535661,6937,0
20,10,"ta018",1538,FALSE,137452,34,0
20,10,"ta019",1593,FALSE,1794,0,0
20,10,"ta020",1591,FALSE,393147,1,0
20,20,"ta021",NA,NA,NA,NA,NA
20,20,"ta022",NA,NA,NA,NA,NA
20,20,"ta023",NA,NA,NA,NA,NA
20,20,"ta024",NA,NA,NA,NA,NA
20,20,"ta025",NA,NA,NA,NA,NA
20,20,"ta026",NA,NA,NA,NA,NA
20,20,"ta027",NA,NA,NA,NA,NA
20,20,"ta028",NA,NA,NA,NA,NA
20,20,"ta029",NA,NA,NA,NA,NA
20,20,"ta030",NA,NA,NA,NA,NA
50,5,"ta031",2724,FALSE,1,0,0
50,5,"ta032",2834,FALSE,59,0,0
50,5,"ta033",2621,FALSE,20,0,0
50,5,"ta034",2751,FALSE,14,0,0
50,5,"ta035",2863,FALSE,239,0,0
50,5,"ta036",2829,FALSE,14,0,0
50,5,"ta037",2725,FALSE,6,0,0
50,5,"ta038",2683,FALSE,1,0,0
50,5,"ta039",2552,FALSE,160,0,0
50,5,"ta040",2782,FALSE,1,0,0
50,10,"ta041",2291,FALSE,80606,111,0
50,10,"ta042",2867,FALSE,4151226,5130,0
50,10,"ta043",2839,FALSE,2331212,3975,0
50,10,"ta044",3063,FALSE,1081,3,0
50,10,"ta045",2976,FALSE,46501,111,0
50,10,"ta046",3006,FALSE,76,0,0
50,10,"ta047",3063,TRUE,1548521,10800,1.077
50,10,"ta048",3037,FALSE,286,0,0
50,10,"ta049",2897,FALSE,29719,45,0
50,10,"ta050",3046,TRUE,2331233,10800,0.854
50,20,"ta051",NA,NA,NA,NA,NA
50,20,"ta052",NA,NA,NA,NA,NA
50,20,"ta053",NA,NA,NA,NA,NA
50,20,"ta054",NA,NA,NA,NA,NA
50,20,"ta055",NA,NA,NA,NA,NA
50,20,"ta056",NA,NA,NA,NA,NA
50,20,"ta057",NA,NA,NA,NA,NA
50,20,"ta058",NA,NA,NA,NA,NA
50,20,"ta059",NA,NA,NA,NA,NA
50,20,"ta060",NA,NA,NA,NA,NA
100,5,"ta061",5493,FALSE,1,0,0
100,5,"ta062",5268,FALSE,23037,152,0
100,5,"ta063",5175,FALSE,17,0,0
100,5,"ta064",5014,FALSE,1180,8,0
100,5,"ta065",5250,FALSE,21,0,0
100,5,"ta066",5135,FALSE,1882,13,0
100,5,"ta067",5246,FALSE,295,2,0
100,5,"ta068",5094,FALSE,88766,552,0
100,5,"ta069",5448,FALSE,1,0,0
100,5,"ta070",5310,TRUE,58548,10800,0.226
100,10,"ta071",5770,FALSE,7,0,0
100,10,"ta072",5349,FALSE,35,0,0
100,10,"ta073",5673,TRUE,24996,10800,0.053
100,10,"ta074",5781,FALSE,4,0,0
100,10,"ta075",5467,FALSE,2175,26,0
100,10,"ta076",5303,FALSE,17,0,0
100,10,"ta077",5594,TRUE,170814,10800,0.036
100,10,"ta078",5617,FALSE,143,0,0
100,10,"ta079",5871,FALSE,109,0,0
100,10,"ta080",5845,FALSE,303643,4175,0
100,20,"ta081",NA,NA,NA,NA,NA
100,20,"ta082",NA,NA,NA,NA,NA
100,20,"ta083",NA,NA,NA,NA,NA
100,20,"ta084",NA,NA,NA,NA,NA
100,20,"ta085",NA,NA,NA,NA,NA
100,20,"ta086",NA,NA,NA,NA,NA
100,20,"ta087",NA,NA,NA,NA,NA
100,20,"ta088",NA,NA,NA,NA,NA
100,20,"ta089",NA,NA,NA,NA,NA
100,20,"ta090",NA,NA,NA,NA,NA
200,10,"ta091",10861,TRUE,2136,10800,0.009
200,10,"ta092",10480,FALSE,6036,341,0
200,10,"ta093",10922,FALSE,57,3,0
200,10,"ta094",10863,TRUE,191455,10800,0.239
200,10,"ta095",10524,FALSE,1014,237,0
200,10,"ta096",10311,TRUE,15966,10800,0.184
200,10,"ta097",10849,TRUE,20796,10800,0.24
200,10,"ta098",10730,FALSE,69603,4839,0
200,10,"ta099",10438,FALSE,1696,102,0
200,10,"ta100",10675,FALSE,11407,656,0
