"name","value","time","nodes"
"ta001",1278,0,0
"ta002",1359,0,117
"ta003",1081,0,30
"ta004",1293,0,15
"ta005",1235,0.05,746
"ta006",1195,0,22
"ta007",1234,0,0
"ta008",1206,0,18
"ta009",1230,0,59
"ta010",1108,0,3
"ta011",1582,128.41,291248
"ta012",1659,281.14,603595
"ta013",1496,200.18,457187
"ta014",1377,18.63,41138
"ta015",1419,53.48,157976
"ta016",1397,17.07,32897
"ta017",1484,3229.84,8771606
"ta018",1538,243.77,474762
"ta019",1593,0.16,347
"ta020",1591,230.44,573316
"ta021",2297,3594.51,1263855
"ta022",2099,3596.79,1771982
"ta023",2326,3597.15,1797023
"ta024",2223,3593.47,1970931
"ta025",2291,3594.15,1500853
"ta026",2226,3593.42,1778562
"ta027",2273,3595.51,1536853
"ta028",2200,3594.91,1825909
"ta029",2237,3594.9,1462146
"ta030",2178,3595.92,1480589
"ta031",2724,0,4
"ta032",2834,0.01,16
"ta033",2621,2.62,9356
"ta034",2751,0.01,7
"ta035",2863,0.02,51
"ta036",2829,0.01,17
"ta037",2725,0,2
"ta038",2683,0,0
"ta039",2552,1.45,4580
"ta040",2782,0,1
"ta041",2991,427.48,293580
"ta042",2867,3595.29,1765765
"ta043",2839,2929.16,2809842
"ta044",3063,0.06,27
"ta045",2976,943.67,488301
"ta046",3006,9.89,2810
"ta047",3093,0.64,280
"ta048",3037,1.4,335
"ta049",2897,53.17,31806
"ta050",3065,3594.06,1211957
"ta051",3850,3591.18,181383
"ta052",3704,3592.52,185111
"ta053",3640,3591.99,115611
"ta054",3723,3590.26,137975
"ta055",3611,3592.19,157193
"ta056",3681,3590.02,162598
"ta057",3704,3597.01,181648
"ta058",3691,3597.22,160240
"ta059",3743,3594.65,129189
"ta060",3756,3595.03,147580
"ta061",5493,0,0
"ta062",5268,3.91,3214
"ta063",5175,0.07,7
"ta064",5014,0.11,28
"ta065",5250,0.11,15
"ta066",5135,0.06,20
"ta067",5246,89.98,39113
"ta068",5094,0.29,153
"ta069",5448,0,0
"ta070",5322,0.34,495
"ta071",5770,0.42,8
"ta072",5349,1.27,45
"ta073",5676,145.54,12876
"ta074",5781,0.17,7
"ta075",5467,214.6,35407
"ta076",5303,0.31,6
"ta077",5595,331.45,20744
"ta078",5617,296.57,28033
"ta079",5871,1.26,31
"ta080",5845,1.44,675
"ta081",6202,3596.92,24761
"ta082",6183,3597.1,41096
"ta083",6271,3597.36,29936
"ta084",6269,3594.97,24377
"ta085",6314,3595.19,21231
"ta086",6364,3593.13,25610
"ta087",6268,3594.56,23420
"ta088",6401,3595.33,21438
"ta089",6275,3594.1,22686
"ta090",6434,3596.23,24950
"ta091",10862,5.83,116
"ta092",10480,3589.63,90166
"ta093",10922,2.81,11
"ta094",10889,52.02,1715
"ta095",10524,1866.61,56304
"ta096",10329,11.71,825
"ta097",10854,6.46,384
"ta098",10730,2664.6,25288
"ta099",10438,6.22,238
"ta100",10675,5.49,256
