"name","initial","time","nodes","unused","optimal","value"
"ta001",1297,0,0,1,TRUE,1278
"ta002",1366,3,26019,305630,TRUE,1359
"ta003",1114,3,21,324,TRUE,1081
"ta004",1314,3,16,247,TRUE,1293
"ta005",1278,3,82199,656672,TRUE,1235
"ta006",1228,3,58,857,TRUE,1195
"ta007",1273,2,0,1,TRUE,1234
"ta008",1222,3,21,325,TRUE,1206
"ta009",1273,3,454,4688,TRUE,1230
"ta010",1151,3,5,87,TRUE,1108
"ta011",1622,10,183654,1262380,TRUE,1582
"ta012",1732,9,109364,1022297,TRUE,1659
"ta013",1563,10,170845,1399416,TRUE,1496
"ta014",1429,7,41096,303451,TRUE,1377
"ta015",1504,7,39934,317368,TRUE,1419
"ta016",1445,6,3568,36034,TRUE,1397
"ta017",1539,294,9857028,72692404,TRUE,1484
"ta018",1601,9,125451,1224761,TRUE,1538
"ta019",1648,6,1667,19578,TRUE,1593
"ta020",1684,15,290443,2716275,TRUE,1591
"ta021",2394,3600,25325037,199903165,FALSE,1996
"ta022",2181,3600,31353533,258026065,FALSE,1927
"ta023",2386,3600,20698011,179602977,FALSE,2008
"ta024",2262,3600,28060694,234994967,FALSE,1985
"ta025",2353,3600,31921144,275964082,FALSE,2048
"ta026",2283,3600,31735319,266783298,FALSE,2067
"ta027",2386,3600,28502730,260175885,FALSE,2067
"ta028",2283,1481,13474286,118246955,TRUE,2200
"ta029",2360,1487,13348266,114334849,TRUE,2237
"ta030",2260,375,3241893,29204825,TRUE,2178
"ta031",2729,0,0,1,TRUE,2724
"ta032",2848,8,10,474,TRUE,2834
"ta033",2628,8,21,980,TRUE,2621
"ta034",2773,8,15,692,TRUE,2751
"ta035",2864,8,240,10394,TRUE,2863
"ta036",2836,8,15,709,TRUE,2829
"ta037",2747,8,7,335,TRUE,2725
"ta038",2684,0,0,1,TRUE,2683
"ta039",2590,8,37,1667,TRUE,2552
"ta040",2782,8,2,98,TRUE,2782
"ta041",3126,93,923670,19337908,TRUE,2991
"ta042",3062,3134,39458382,770371595,TRUE,2867
"ta043",3025,3600,66493821,971727212,FALSE,2823
"ta044",3187,18,32771,1005822,TRUE,3063
"ta045",3146,50,357233,9895574,TRUE,2976
"ta046",3169,15,77,3487,TRUE,3006
"ta047",3289,3600,51808725,925227015,FALSE,3063
"ta048",3184,2973,46391160,771779265,TRUE,3037
"ta049",3032,19,41039,1067750,TRUE,2897
"ta050",3215,3600,51338422,915986364,FALSE,3046
"ta051",4051,3600,17467320,598740428,FALSE,3563
"ta052",3975,3600,9494998,285724216,FALSE,3529
"ta053",3855,3600,14415090,482333479,FALSE,3389
"ta054",3927,3600,12059451,397266759,FALSE,3449
"ta055",3860,3600,15388195,516021858,FALSE,3406
"ta056",3979,3600,9189575,253390443,FALSE,3505
"ta057",3934,3600,9519372,266752127,FALSE,3493
"ta058",3926,3600,15881841,536652381,FALSE,3451
"ta059",3941,3600,9627178,279195722,FALSE,3482
"ta060",3961,3600,12510381,409983519,FALSE,3536
"ta061",5504,0,0,1,TRUE,5493
"ta062",5291,22,23038,2145458,TRUE,5268
"ta063",5195,15,18,1726,TRUE,5175
"ta064",5029,15,1181,111498,TRUE,5014
"ta065",5255,15,22,2122,TRUE,5250
"ta066",5139,15,1883,179067,TRUE,5135
"ta067",5247,15,296,28464,TRUE,5246
"ta068",5115,42,88767,8006125,TRUE,5094
"ta069",5454,0,0,1,TRUE,5448
"ta070",5346,2305,7535625,678597238,TRUE,5322
"ta071",5899,30,8,771,TRUE,5770
"ta072",5493,30,36,3424,TRUE,5349
"ta073",5780,3600,9153129,727692068,FALSE,5661
"ta074",5965,610,2035301,95561666,TRUE,5781
"ta075",5643,30,2176,188611,TRUE,5467
"ta076",5414,30,18,1747,TRUE,5303
"ta077",5688,3600,9073073,746089961,FALSE,5539
"ta078",5719,88,198823,11057293,TRUE,5617
"ta079",5986,3600,11019906,750618039,FALSE,5847
"ta080",5903,201,303644,28263874,TRUE,5845
"ta081",6574,3600,5824508,469854722,FALSE,5926
"ta082",6534,3600,4972764,338821615,FALSE,6122
"ta083",6582,3600,5932811,439925878,FALSE,6177
"ta084",6606,3600,6013614,460047730,FALSE,6107
"ta085",6601,3600,6480833,508431876,FALSE,6188
"ta087",6602,3600,5359323,431240642,FALSE,6073
"ta088",6771,3600,6371867,504913826,FALSE,6176
"ta089",6660,3600,6039230,498475839,FALSE,6048
"ta090",6662,3600,6178878,487175565,FALSE,6348
"ta091",10942,3600,1881150,353767238,FALSE,10836
"ta092",10700,490,660556,53875854,TRUE,10480
"ta093",11045,3600,2199121,378895509,FALSE,10911
"ta094",10931,3600,1602409,306087433,FALSE,10863
"ta095",10627,1366,1170948,146222725,TRUE,10524
"ta096",10534,3600,1801533,344236919,FALSE,10311
"ta097",10959,3600,1713624,324446591,FALSE,10849
"ta098",10845,3600,1988846,362708581,FALSE,10705
"ta099",10502,63,1697,330823,TRUE,10438
"ta100",10821,3600,2910024,349210032,FALSE,10646
