"name","initial","time","nodes","unused","optimal","value"
"ta001",1297,0,0,1,TRUE,1278
"ta002",1366,3,18,0,TRUE,1359
"ta003",1114,3,16,0,TRUE,1081
"ta004",1314,3,11,0,TRUE,1293
"ta005",1278,3,1852,0,TRUE,1235
"ta006",1228,3,6,0,TRUE,1195
"ta007",1273,3,43,15,TRUE,1234
"ta008",1222,3,5,0,TRUE,1206
"ta009",1273,3,15,0,TRUE,1230
"ta010",1151,3,3,0,TRUE,1108
"ta011",1622,10,63446,0,TRUE,1582
"ta012",1732,9,40607,0,TRUE,1659
"ta013",1563,12,95730,0,TRUE,1496
"ta014",1429,7,13499,0,TRUE,1377
"ta015",1504,7,20617,0,TRUE,1419
"ta016",1445,6,1081,0,TRUE,1397
"ta017",1539,347,4304872,0,TRUE,1484
"ta018",1601,10,56674,0,TRUE,1538
"ta019",1648,6,49,0,TRUE,1593
"ta020",1684,14,109992,0,TRUE,1591
"ta021",2394,3600,8652441,0,FALSE,2015
"ta022",2181,3600,11068642,1,FALSE,1927
"ta023",2386,3600,8377562,0,FALSE,2008
"ta024",2262,3600,10468206,0,FALSE,1985
"ta025",2353,3600,12168159,0,FALSE,2086
"ta026",2283,3600,10750283,0,FALSE,2070
"ta027",2386,3600,8099989,0,FALSE,2067
"ta028",2283,1924,5893336,0,TRUE,2200
"ta029",2360,1961,5989187,0,TRUE,2237
"ta030",2260,413,1231573,0,TRUE,2178
"ta031",2729,0,0,1,TRUE,2724
"ta032",2848,8,2,0,TRUE,2834
"ta033",2628,8,14,0,TRUE,2621
"ta034",2773,8,3,0,TRUE,2751
"ta035",2864,8,7,0,TRUE,2863
"ta036",2836,8,4,0,TRUE,2829
"ta037",2747,8,6,0,TRUE,2725
"ta038",2684,0,0,1,TRUE,2683
"ta039",2590,8,8,0,TRUE,2552
"ta040",2782,8,1,0,TRUE,2782
"ta041",3126,32,56980,220,TRUE,2991
"ta042",3062,3600,12272197,634,FALSE,2832
"ta043",3025,2765,14407189,564,TRUE,2839
"ta044",3187,15,6,0,TRUE,3063
"ta045",3146,51,122036,458,TRUE,2976
"ta046",3169,15,32,0,TRUE,3006
"ta047",3289,305,1625595,993,TRUE,3093
"ta048",3184,42,163874,82,TRUE,3037
"ta049",3032,15,1377,264,TRUE,2897
"ta050",3215,2382,11746766,603,TRUE,3065
"ta051",4051,3600,3830514,0,FALSE,3563
"ta052",3975,3600,3101351,0,FALSE,3534
"ta053",3855,3600,2705864,0,FALSE,3428
"ta054",3927,3600,4877585,0,FALSE,3449
"ta055",3860,3600,5123653,0,FALSE,3406
"ta056",3979,3600,2452615,0,FALSE,3536
"ta057",3934,3600,2190551,0,FALSE,3493
"ta058",3926,3600,3312327,0,FALSE,3451
"ta059",3941,3600,2395207,0,FALSE,3457
"ta060",3961,3600,2920077,0,FALSE,3536
"ta061",5504,0,0,1,TRUE,5493
"ta062",5291,15,31,0,TRUE,5268
"ta063",5195,15,5,0,TRUE,5175
"ta064",5029,15,5,0,TRUE,5014
"ta065",5255,15,10,0,TRUE,5250
"ta066",5139,15,7,0,TRUE,5135
"ta067",5247,15,7,0,TRUE,5246
"ta068",5115,15,15,0,TRUE,5094
"ta069",5454,0,0,1,TRUE,5448
"ta070",5346,15,17,0,TRUE,5322
"ta071",5899,30,7,0,TRUE,5770
"ta072",5493,30,169,337,TRUE,5349
"ta073",5780,31,1204,985,TRUE,5676
"ta074",5965,3600,3912016,2776,FALSE,5776
"ta075",5643,30,63,0,TRUE,5467
"ta076",5414,30,8,0,TRUE,5303
"ta077",5688,32,3277,1271,TRUE,5595
"ta078",5719,32,4737,1178,TRUE,5617
"ta079",5986,55,53002,1198,TRUE,5871
"ta080",5903,30,280,248,TRUE,5845
"ta081",6574,3600,2868738,0,FALSE,5936
"ta082",6534,3600,674706,0,FALSE,6122
"ta083",6582,3600,3029825,0,FALSE,6186
"ta084",6606,3600,744789,0,FALSE,6134
"ta085",6601,3600,3015384,0,FALSE,6188
"ta086",6734,3600,2029864,0,FALSE,6203
"ta087",6602,3600,2874657,0,FALSE,6090
"ta088",6771,3600,2961620,0,FALSE,6190
"ta089",6660,3600,2828176,0,FALSE,6048
"ta090",6662,3600,2270713,0,FALSE,6382
"ta091",10942,75,2673,13551,TRUE,10862
"ta092",10700,81,3921,15849,TRUE,10480
"ta093",11045,62,586,861,TRUE,10922
"ta094",10931,60,37,0,TRUE,10889
"ta095",10627,76,3442,11467,TRUE,10524
"ta096",10534,62,410,2290,TRUE,10329
"ta097",10959,64,794,2452,TRUE,10854
"ta098",10845,65,961,4905,TRUE,10730
"ta099",10502,60,6,0,TRUE,10438
"ta100",10821,61,291,1302,TRUE,10675
