"name","initial","time","nodes","unused","optimal","value"
"ta001",1297,0,0,0,TRUE,1278
"ta002",1366,3,18,0,TRUE,1359
"ta003",1114,3,16,0,TRUE,1081
"ta004",1314,3,11,0,TRUE,1293
"ta005",1278,3,1852,0,TRUE,1235
"ta006",1228,3,6,0,TRUE,1195
"ta007",1273,3,1,0,TRUE,1234
"ta008",1222,3,5,0,TRUE,1206
"ta009",1273,3,15,0,TRUE,1230
"ta010",1151,3,3,0,TRUE,1108
"ta011",1622,10,63446,0,TRUE,1582
"ta012",1732,10,40607,0,TRUE,1659
"ta013",1563,13,95730,0,TRUE,1496
"ta014",1429,6,13499,0,TRUE,1377
"ta015",1504,7,20617,0,TRUE,1419
"ta016",1445,6,1081,0,TRUE,1397
"ta017",1539,395,4304872,0,TRUE,1484
"ta018",1601,11,56674,0,TRUE,1538
"ta019",1648,6,49,0,TRUE,1593
"ta020",1684,16,109992,0,TRUE,1591
"ta021",2394,3600,4643776,0,FALSE,2297
"ta022",2181,3600,7060588,0,FALSE,2099
"ta023",2386,3600,6869392,0,FALSE,2326
"ta024",2262,3600,5979594,0,FALSE,2223
"ta025",2353,3600,7199331,0,FALSE,2291
"ta026",2283,3600,5590815,0,FALSE,2226
"ta027",2386,3600,4539745,0,FALSE,2273
"ta028",2283,2104,5893336,0,TRUE,2200
"ta029",2360,2094,5989187,0,TRUE,2237
"ta030",2260,414,1231573,0,TRUE,2178
"ta031",2729,8,1,0,TRUE,2724
"ta032",2848,8,2,0,TRUE,2834
"ta033",2628,8,14,0,TRUE,2621
"ta034",2773,8,3,0,TRUE,2751
"ta035",2864,8,7,0,TRUE,2863
"ta036",2836,8,4,0,TRUE,2829
"ta037",2747,8,6,0,TRUE,2725
"ta038",2684,0,0,0,TRUE,2683
"ta039",2590,8,8,0,TRUE,2552
"ta040",2782,8,1,0,TRUE,2782
"ta041",3126,27,30740,0,TRUE,2991
"ta042",3062,3600,17264313,0,FALSE,2876
"ta043",3025,426,1479949,0,TRUE,2839
"ta044",3187,15,6,0,TRUE,3063
"ta045",3146,27,36002,0,TRUE,2976
"ta046",3169,15,32,0,TRUE,3006
"ta047",3289,125,280230,0,TRUE,3093
"ta048",3184,19,10894,0,TRUE,3037
"ta049",3032,16,3033,0,TRUE,2897
"ta050",3215,809,2797246,0,TRUE,3065
"ta051",4051,3600,2944586,0,FALSE,3893
"ta052",3975,3600,2268419,0,FALSE,3713
"ta053",3855,3600,2646082,0,FALSE,3653
"ta054",3927,3600,2448896,0,FALSE,3740
"ta055",3860,3600,2295918,0,FALSE,3637
"ta056",3979,3600,1999892,0,FALSE,3692
"ta057",3934,3600,2439212,0,FALSE,3730
"ta058",3926,3600,2965013,0,FALSE,3719
"ta059",3941,3600,2617639,0,FALSE,3752
"ta060",3961,3600,2715029,0,FALSE,3768
"ta061",5504,0,0,0,TRUE,5493
"ta062",5291,15,31,0,TRUE,5268
"ta063",5195,15,5,0,TRUE,5175
"ta064",5029,15,5,0,TRUE,5014
"ta065",5255,15,10,0,TRUE,5250
"ta066",5139,15,7,0,TRUE,5135
"ta067",5247,15,7,0,TRUE,5246
"ta068",5115,15,15,0,TRUE,5094
"ta069",5454,0,0,0,TRUE,5448
"ta070",5346,15,17,0,TRUE,5322
"ta071",5899,30,7,0,TRUE,5770
"ta072",5493,30,9,0,TRUE,5349
"ta073",5780,34,2713,0,TRUE,5676
"ta074",5965,38,4723,0,TRUE,5781
"ta075",5643,32,2002,0,TRUE,5467
"ta076",5414,30,8,0,TRUE,5303
"ta077",5688,34,3405,0,TRUE,5595
"ta078",5719,38,4074,0,TRUE,5617
"ta079",5986,35,3419,0,TRUE,5871
"ta080",5903,30,385,0,TRUE,5845
"ta081",6574,3600,715980,0,FALSE,6247
"ta082",6534,3600,519394,0,FALSE,6243
"ta083",6582,3600,1040294,0,FALSE,6327
"ta084",6606,3600,530230,0,FALSE,6366
"ta085",6601,3600,787828,0,FALSE,6381
"ta086",6734,3600,647808,0,FALSE,6437
"ta087",6602,3600,647329,0,FALSE,6306
"ta088",6771,3600,645035,0,FALSE,6447
"ta089",6660,3600,784000,0,FALSE,6322
"ta090",6662,3600,546422,0,FALSE,6483
"ta091",10942,133,3963,0,TRUE,10862
"ta092",10700,132,8271,0,TRUE,10480
"ta093",11045,71,1283,0,TRUE,10922
"ta094",10931,60,37,0,TRUE,10889
"ta095",10627,107,4252,0,TRUE,10524
"ta096",10534,80,2406,0,TRUE,10329
"ta097",10959,126,9313,0,TRUE,10854
"ta098",10845,105,3795,0,TRUE,10730
"ta099",10502,60,6,0,TRUE,10438
"ta100",10821,75,2208,0,TRUE,10675
